Agency Name,Year,Attendance,Rescues - Total,Rescue - Rip,Rescue - Surf,Rescue - Swift,Rescues - Scuba,Rescue - Cliff,Boat Rescues - Rescues,Boat Rescues - Passengers,Boat Rescues - Value,Boat Assists - Rescues,Boat Assists - Passengers,Boat Assists - Value,Prevents,Medical Aids - Total,Medical Aids - Major,Medical Aids - Minor,Drowning Deaths (Unguarded) - Total,Drowning Deaths (Unguarded) - Rip,Drowning Deaths (Unguarded) - Surf,Drowning Deaths (Unguarded) - Scuba,Drowning Deaths (Unguarded) - Drop-Off,Drowning Deaths (Unguarded) - Alc/Drugs,Drowning Deaths (Unguarded) - Ability,Drowning Deaths (Unguarded) - Floatation,Drowning Deaths (Unguarded) - Other,Drowning Deaths (Guarded) - Total,Drowning Deaths (Guarded) - Rip,Drowning Deaths (Guarded) - Surf,Drowning Deaths (Guarded) - Scuba,Drowning Deaths (Guarded) - Drop-Off,Drowning Deaths (Guarded) - Alc/Drugs,Drowning Deaths (Guarded) - Ability,Drowning Deaths (Guarded) - Floatation,Drowning Deaths (Guarded) - Other,Other Fatalities,Enforcements - Warnings,Enforcements - Boat/PWC,Enforcements - Citations,Enforcements - Arrests,Lost/Found,Public Education - Lectures,Public Education - Students,Demographics - Miles Guarded,Demographics - Miles Not Guarded,Demographics - Full-Time Employees,Demographics - Part-Time Employees,Demographics - Jr. Guards,Demographics - Agency Water Is,Demographics - Agency Coverage,Demographics - Avg. Weekday Towers Staffed,Demographics - Avg. Weekend Towers Staffed,Demographics - Avg. Distance Between Tower (yards),Demographics - # Rescue Vehicles,Demographics - Boat < 15,Demographics - Boat 15+,Demographics - PWC,Demographics - Non Motorized Rescue Craft
Los Angeles County Lifeguards - Beach,1970,44400000,4370,0,0,0,0,0,1127,0,0,0,0,0,0,7155,7155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2003,43743119,10539,9939,124,1,62,18,381,1039,6554900,2368,0,0,509962,7613,869,6744,23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,23,78852,7435,4793,223,1278,700,40116,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,2005,43570138,7425,0,53,0,0,3,911,99,44285555,170,336,1193900,751568,22873,22759,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,256202,4263,1,0,950,820,89967,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1972,43000000,7687,0,0,0,0,0,1450,0,8770000,0,0,0,65150,5940,5940,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2199,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1995,42505089,5842,0,0,0,0,0,1085,186,17835600,0,0,0,392351,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,175831,0,0,0,1620,823,74885,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2017,42357798,11043,8824,1032,87,19,8,235,560,1589400,1625,3240,16250000,1121216,16911,1982,14929,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,343075,6849,5924,1248,437,4842,131303,34,308,77,852,7097,0,0,93,148,200,0,0,0,0,0
California State Parks,2014,42050543,13167,11628,0,0,0,0,327,593,2022400,0,0,0,928092,13986,1517,12469,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329408,0,7518,771,564,6688,47897,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2004,40336572,10016,8079,1423,0,61,20,316,996,5765450,1186,0,0,546970,7088,931,6157,36,10,5,5,3,4,0,0,9,0,0,0,0,0,0,0,0,0,25,88689,5750,1932,168,1002,119,35169,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2002,37333190,6941,6000,860,11,70,28,516,700,6737600,1445,0,0,568366,5540,615,4925,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,106599,5476,2559,346,1444,1072,34229,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,1995,37320469,7199,0,0,121,127,13,314,821,3719362,631,0,0,247163,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14720,0,1956,64,1034,882,41937,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1969,37111029,4596,0,0,0,0,0,329,0,0,0,0,0,0,6013,6013,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2778,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1968,37000000,5732,0,0,0,0,0,1688,0,0,0,0,0,0,6075,6075,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Los Angeles County Lifeguards - Beach,1973,36690186,4550,0,0,0,0,0,1987,0,10096300,0,0,0,48301,4867,4867,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2006,36581187,9785,8606,519,18,55,20,211,547,3231970,1852,0,0,632387,9942,1200,8742,27,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,21,239552,9608,4412,267,966,2109,35170,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2021,36536075,10938,7196,1838,180,31,22,265,429,1782010,1144,0,0,663786,14179,1399,12780,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,341533,3366,7114,868,177,4113,429555,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2018,35845823,10978,7750,1525,25,58,10,230,576,735750,1440,0,0,959057,14926,1156,13770,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37,329639,5889,7400,777,423,6380,53473,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2019,33925873,9653,6971,972,25,60,5,213,270,949405,1463,0,0,938206,16583,1145,15438,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,526947,5075,8227,651,327,6198,205049,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,1994,32876000,6534,0,0,0,0,0,190,439,2587650,0,0,0,232022,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,185,27840,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2011,32476720,7370,6129,581,61,38,9,219,516,1825150,839,0,0,716004,13699,1446,12253,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,142708,2965,7092,559,680,653,22844,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2005,31996222,5827,4894,441,30,71,13,296,882,7138340,2275,0,0,501317,18106,923,17183,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111731,8127,3028,270,658,1506,31457,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California State Parks,2009,31737648,9507,7788,739,97,842,11,222,405,2097152,888,0,0,614746,25673,1280,24393,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,157044,6182,3470,304,1123,974,28276,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
